district,sector,job_role,opportunity_type,demand_level,source,last_updated
Indore,Agriculture,Tractor Operator,Micro-Enterprise / Self-Employment,High,District Skill Committee Prototype,2026-09-01
Indore,Green Jobs,Solar PV Installer (Suryamitra),Vocational Training Center,High,State Skill Mission Demo,2026-09-01
Indore,Agriculture,Organic Grower,Self-Employment Cluster,Medium,NABARD SHG Project Prototype,2026-09-01
Indore,Agriculture,Dairy Farmer / Milk Collector,Cooperative Collection Center,High,Dairy Federation Prototype,2026-09-01
Jaipur,Apparel & Home Furnishing,Self Employed Tailor,Self-Employment / Boutique,High,District Handloom Mission Demo,2026-09-01
Jaipur,Green Jobs,Solar PV Installer (Suryamitra),Job Vacancy,High,Solar Rooftop Vendor Demo,2026-09-01
Jaipur,Electronics,Field Technician - Home Appliances,Service Center Hiring,High,Regional Service Network Demo,2026-09-01
Udaipur,Apparel & Home Furnishing,Sewing Machine Operator,Textile Unit Hiring,High,Textile Park Prototype Data,2026-09-01
Udaipur,Handicrafts,Hand Embroiderer,Artisan Cooperative,Medium,Craft Promotion Cluster Demo,2026-09-01
Bhopal,Healthcare,General Duty Assistant (GDA),Hospital Training / Job,High,District Health Mission Demo,2026-09-01
Bhopal,IT-ITeS,Data Entry Operator (DEO),CSC Center Hiring,Medium,Common Service Center Demo,2026-09-01
Lucknow,Construction / Power,Assistant Electrician,Contractor Apprenticeship,High,State Skill Mission Prototype,2026-09-01
Lucknow,Plumbing,Plumber General,Municipal Plumbing Services,High,Urban Skill Development Demo,2026-09-01
Patna,Logistics,Courier Delivery Executive,Delivery Hub Hiring,High,Regional Logistics Center Demo,2026-09-01
Delhi NCR,IT-ITeS,Customer Care Executive,BPO Unit Hiring,High,Skill India Portal Demo,2026-09-01
Delhi NCR,Retail,Retail Sales Associate,Retail Store Hiring,High,Retail Skill Council Prototype,2026-09-01
