job_role,sector,nsqf_level,minimum_education,required_skills,key_tasks,mobility_requirement,self_employment_suitability,wage_employment_suitability
Solar PV Installer (Suryamitra),Green Jobs,4,10th Pass + ITI,Solar wiring|PV module installation|Battery maintenance|Safety protocols,Installing rooftop PV panels|Testing voltage|Connecting inverters,District / State,Medium,High
Sewing Machine Operator,Apparel & Home Furnishing,3,5th Pass,Single needle stitching|Garment assembly|Threading|Defect inspection,Operating industrial sewing machines|Stitching pattern pieces|Basic machine maintenance,Local / District,Medium,High
Field Technician - Home Appliances,Electronics,4,8th Pass + ITI,Circuit troubleshooting|Multimeter usage|Appliance repair|Customer communication,Repairing washing machines|Microwave ovens|Refrigerators at customer homes,Local / District,High,High
General Duty Assistant (GDA),Healthcare,4,10th Pass,Patient care|Vital signs monitoring|Hygiene assistance|Infection control,Assisting nurses|Taking temperature and BP|Helping patient mobility in hospitals,Local / District,Low,High
Mason General,Construction,3,5th Pass,Bricklaying|Mortar mixing|Plastering|Level checking,Laying bricks and blocks|Shuttering alignment|Plastering walls on construction sites,Local / District,High,High
Plumber General,Plumbing,3,8th Pass,Pipe cutting & threading|Fixture installation|Leak detection|Drainage setup,Installing water pipes|Repairing taps and valves|Setting up bathroom and kitchen plumbing,Local,High,High
Assistant Electrician,Construction / Power,3,10th Pass,Conduit laying|Wire pulling|Distribution box wiring|Electrical safety,Assisting senior electrician|Fitting switches|Pulling cables in buildings,Local / District,High,High
Auto Service Technician (2W/3W),Automotive,4,10th Pass,Engine tuning|Brake servicing|Transmission check|Fault diagnosis,Servicing motorcycles|Scooters|Auto-rickshaws|Changing oil and spark plugs,Local,High,High
Organic Grower,Agriculture,4,8th Pass,Composting|Bio-fertilizer application|Crop rotation|Pest management,Preparing organic soil bed|Vermicomposting|Eco-friendly crop cultivation,Local (Rural),High,Medium
Microfinance Executive,BFSI,4,12th Pass,Financial literacy guidance|KYC verification|Loan processing|Client onboarding,Visiting SHGs|Collecting loan repayments|Verifying field documents,District,Low,High
Beauty Therapist,Beauty & Wellness,4,8th Pass,Facial treatments|Skin analysis|Hair removal|Basic makeup,Providing skincare treatments|Threadings|Facials in parlors or door-to-door,Local,High,High
Self Employed Tailor,Apparel & Home Furnishing,4,8th Pass,Pattern drafting|Custom stitching|Alterations|Client measuring,Taking measurements|Cutting fabric|Custom stitching suits and blouses for local clients,Local,High,Low
Customer Care Executive,IT-ITeS,4,10th Pass,Spoken communication|Call handling|Active listening|Computer literacy,Resolving customer queries|Logging complaints|Handling inbound and outbound calls,District / City,Low,High
Retail Sales Associate,Retail,4,10th Pass,Product demonstration|Billing POS usage|Customer assistance|Inventory display,Assisting store shoppers|Arranging store displays|Barcode scanning at checkout,Local / District,Low,High
Data Entry Operator (DEO),IT-ITeS,4,10th Pass,Fast typing|MS Office Excel|Data verification|Document scanning,Entering handwritten records into databases|Updating spreadsheets|Managing files,Local / District,Medium,High
Courier Delivery Executive,Logistics,3,10th Pass,Route navigation|Smartphone app operation|Package handling|Proof of delivery,Delivering parcels to customers|Scanning QR codes|Collecting cash on delivery,Local,Low,High
Housekeeping Executive,Domestic Workers,2,Primary Pass,Floor sweeping & mopping|Chemical cleaning|Waste disposal|Sanitization,Sweeping|Sanitizing floors|Cleaning restrooms in offices hospitals or homes,Local,Low,High
Dairy Farmer / Milk Collector,Agriculture,3,5th Pass,Cattle feeding|Milking technique|Lactometer testing|Hygiene maintenance,Feeding dairy cattle|Testing fat percentage|Collecting milk for local cooperatives,Local (Rural),High,Medium
Food & Beverage Service Associate,Tourism & Hospitality,4,10th Pass,Table setting|Order taking|Food serving|Table etiquette,Serving food & beverages in restaurants hotels|Clearing tables|Assisting guests,Local / City,Low,High
Warehouse Packer,Logistics,3,8th Pass,Goods sorting|Bubble wrapping|Box sealing|Label printing,Packing goods in corrugated boxes|Applying shipping labels|Sorting pallets,Local / District,Low,High
CCTV Installation Technician,Electronics,4,10th Pass + ITI,Camera mounting|DVR NVR configuration|BNC cabling|IP setup,Mounting CCTV cameras|Laying video cables|Setting up remote smartphone monitoring,Local / District,High,High
Hand Embroiderer,Handicrafts,3,5th Pass,Zardozi Aari work|Needle selection|Sequin stitching|Pattern transfer,Hand-stitching traditional embroidery patterns on sarees dupattas and fabrics,Local,High,Medium
Tractor Operator,Agriculture,4,8th Pass,Tractor driving|Implement hitching|Routine maintenance,Tilling agricultural fields|Operating rotavators|Transporting harvest produce,Local (Rural),High,High
